time,raw_Fx,raw_Fy,raw_Fz,raw_Mx,raw_My,raw_Mz,filtered_Fx,filtered_Fy,filtered_Fz,filtered_Mx,filtered_My,filtered_Mz,offset_Fx,offset_Fy,offset_Fz,offset_Mx,offset_My,offset_Mz,target_Fx,target_Fy,target_Fz,target_Mx,target_My,target_Mz,velocity_Fx,velocity_Fy,velocity_Fz,velocity_Mx,velocity_My,velocity_Mz,ref_Fx,ref_Fy,ref_Fz,ref_Mx,ref_My,ref_Mz
7.569074630737304688e-03,-1.262535737185449258e-01,1.663594849092362438e-01,9.008043359438902553e-02,-4.803067704817021860e-03,7.631229653690285719e-03,-6.987673735399585646e-03,-2.525071474370898725e-02,3.327189698184725153e-02,1.801608671887780511e-02,-9.606135409634044154e-04,1.526245930738057231e-03,-1.397534747079917216e-03,-2.221852474823526825e-08,2.927649668594376427e-08,1.687356655278897118e-08,-6.388080047406638796e-10,1.014953543940808117e-09,-9.293606068081451549e-10,2.999427607869052936e-01,-2.380723080801207814e-01,2.311960016297775478e-01,-1.451250011579070939e-04,3.141426193814258472e+00,3.756954506999717964e-05,-4.160644437370076921e-06,5.482321372022244812e-06,3.265175503307017956e-06,-6.404090273089362550e-08,1.017497287158704782e-07,-9.316898313866114293e-08,2.999427830054300359e-01,-2.380723373566174805e-01,2.311959847562110038e-01,-1.451243623499023634e-04,3.141426192799305017e+00,3.757047443060398901e-05
1.763105392456054688e-02,-2.741971290253543692e-01,1.191152532864515334e-01,-3.348088511297084985e-02,-5.097802790271310433e-03,4.159636603885015320e-03,-4.631058320348618688e-03,-7.503999760003807196e-02,5.044056824276810930e-02,7.716692352508073768e-03,-1.788051390824985792e-03,2.052924065367449109e-03,-2.044239461733657597e-03,-1.225158567160310074e-07,1.188141312638389639e-07,5.368146646305618903e-08,-2.037083782177399982e-09,2.712564368729189827e-09,-2.593162877954623650e-09,2.999522517855748860e-01,-2.380615123998059135e-01,2.311360483576816449e-01,-1.450533598751413465e-04,3.141426212526676309e+00,3.754897244482244820e-05,-1.515044744934865263e-05,1.198207721691800113e-05,4.068895469709914083e-06,-1.396986496256427114e-07,1.694249092045323948e-07,-1.660998110193866661e-07,2.999523743014316235e-01,-2.380616312139371693e-01,2.311359946762151785e-01,-1.450513227913591708e-04,3.141426209814111914e+00,3.755156560770040564e-05
2.769565582275390625e-02,-1.968556585786984670e-01,-5.740235958747666976e-03,2.443590557734959812e-01,-6.672342977339187388e-04,3.548258295150782601e-03,-6.453536619036259053e-03,-9.940312979577015096e-02,3.920440740246496081e-02,5.504516503670565941e-02,-1.563887972206772468e-03,2.351990911324115981e-03,-2.926098893194178149e-03,-3.347479118560651728e-07,2.519748096413391223e-07,1.420823646308846296e-07,-3.529184841962232948e-09,4.823349469056118899e-09,-5.075440145521642972e-09,2.999616333494445897e-01,-2.380506703059449003e-01,2.310761310424709059e-01,-1.449817933802638567e-04,3.141426231656703205e+00,3.752757641616157540e-05,-2.651989379546462343e-05,1.447820418445227374e-05,1.330089469027089130e-05,-1.485383628142036370e-07,2.103393119310889284e-07,-2.476065242241587681e-07,2.999619680973564240e-01,-2.380509222807545289e-01,2.310759889601062822e-01,-1.449782641954218941e-04,3.141426226833353930e+00,3.753265185630709738e-05
3.775691986083984375e-02,-2.240818842936186939e-01,9.389433300345106925e-02,8.422842722294454632e-02,-2.934090042123190661e-03,3.656200309683430016e-03,-5.580262598062462297e-03,-1.243388806953398817e-01,5.014239252266218527e-02,6.088181747395343679e-02,-1.837928386190056237e-03,2.612832790995978614e-03,-3.456931634167835325e-03,-6.624970551774206005e-07,4.152661763189207003e-07,3.195672150601476552e-07,-5.223066015626916845e-09,7.229939040869518011e-09,-8.165903086022731164e-09,2.999708962145056224e-01,-2.380398016329439703e-01,2.310163227117199847e-01,-1.449104528949109118e-04,3.141426251076889997e+00,3.750557847445105367e-05,-3.822883661701616389e-05,1.794196024218112857e-05,2.190519856728799663e-05,-1.687007766767157223e-07,2.396876339730490969e-07,-3.079674068694701994e-07,2.999715587115607818e-01,-2.380402168991202771e-01,2.310160031445049333e-01,-1.449052298288952773e-04,3.141426243846951127e+00,3.751374437753707904e-05
4.781818389892578125e-02,-2.378311633915900225e-01,5.317991433031336868e-02,1.707993836463184978e-01,-2.713333684069529819e-03,7.895357311170910853e-04,-4.765672214943864234e-03,-1.470373372345899210e-01,5.074989688419242334e-02,8.286533070842645732e-02,-2.013009445765951127e-03,2.248173379020201521e-03,-3.718679750323041454e-03,-1.106540829674246588e-06,6.075569863860295955e-07,5.955291105993981937e-07,-7.089319830313074986e-09,9.475854023206333442e-09,-1.161107988736373704e-08,2.999800427849355078e-01,-2.380289039604996659e-01,2.309566128580141930e-01,-1.448392847821990028e-04,3.141426270336402649e+00,3.748322581887970212e-05,-4.978708310063886090e-05,2.034937061586460143e-05,3.291419304574499509e-05,-1.858303177679838643e-07,2.233602211325293596e-07,-3.430758669983290306e-07,2.999811493257651951e-01,-2.380295115174860532e-01,2.309560173289035845e-01,-1.448321954623686876e-04,3.141426260860548769e+00,3.749483689876706747e-05
5.787777900695800781e-02,-1.973535069267955133e-01,8.433989486260510399e-03,-3.566288246032754683e-02,1.927965645098316579e-03,3.694693090189241687e-03,-4.346468301172226080e-03,-1.571005711730310561e-01,4.228671540460604561e-02,5.915968807467566343e-02,-1.224814427593097716e-03,2.537477321254009727e-03,-3.844237460492878553e-03,-1.654468590704857393e-06,8.121501536705669228e-07,9.489211388172872165e-07,-8.476111840350849827e-09,1.184479608302769217e-08,-1.523387034066829442e-08,2.999890838805187587e-01,-2.380179957614723396e-01,2.308969903846948002e-01,-1.447676493223877601e-04,3.141426289716120479e+00,3.746069868596802621e-05,-5.915283214992798406e-05,2.055201894347783470e-05,3.760145978203257764e-05,-1.376357495955019791e-07,2.358159803084415477e-07,-3.606189452585201667e-07,2.999907383491094426e-01,-2.380188079116260236e-01,2.308960414635559955e-01,-1.447591732105474142e-04,3.141426277871324224e+00,3.747593255630869409e-05
6.793951988220214844e-02,-2.406044743112490392e-01,1.593012595722143876e-01,9.804770744655529058e-02,-5.854294287104663298e-03,5.492990365083844778e-03,-6.565642686500546520e-03,-1.738013518006746860e-01,6.568962423812771401e-02,6.693729194905159718e-02,-2.150710399495410832e-03,3.128579930019976651e-03,-4.388518505694412666e-03,-2.294011866072288788e-06,1.038915470039073544e-06,1.351907280608420027e-06,-1.030875394426197218e-08,1.463258711023364707e-08,-1.925299306005136843e-08,2.999980354059792464e-01,-2.380070631071576903e-01,2.308374047123056272e-01,-1.446964441366206948e-04,3.141426309518315030e+00,3.743777118838958367e-05,-6.813471063132538620e-05,2.452711558252020969e-05,4.281459011554106161e-05,-1.826932575364840793e-07,2.777126151130760659e-07,-4.002201859193861864e-07,3.000003294178453239e-01,-2.380081020226277322e-01,2.308360528050250049e-01,-1.446861353826764407e-04,3.141426294885727888e+00,3.745702418144963240e-05
7.800340652465820312e-02,-2.994998273112408627e-01,9.461531133512562919e-02,6.318581016981919540e-02,-3.344367310817303318e-04,3.062777459286266171e-03,-6.879564633203005125e-03,-1.989410469027879380e-01,7.147476165752730815e-02,6.618699559320512238e-02,-1.787455665812674819e-03,3.115419435873234555e-03,-4.886727731196131852e-03,-3.029393308610202568e-06,1.303420954128076756e-06,1.801242510512821752e-06,-1.203783627341967177e-08,1.753274304784988020e-08,-2.370870188384540750e-08,3.000068931386642990e-01,-2.379960904295370383e-01,2.307778525958210925e-01,-1.446251198150291328e-04,3.141426329436503462e+00,3.741440307230604629e-05,-7.824235086879860208e-05,2.812503743545080240e-05,4.690796967594184713e-05,-1.719740507742140786e-07,2.886636537985833064e-07,-4.436917844431393525e-07,3.000099225319728946e-01,-2.379973938504911790e-01,2.307760513533105851e-01,-1.446130819787557126e-04,3.141426311903760205e+00,3.743811177418988916e-05
8.806443214416503906e-02,-2.442636579323350376e-01,8.736667018874108570e-02,1.492458418548118504e-01,-3.636286719433868241e-03,3.665766586775899127e-03,-7.667791563284543331e-03,-2.080055691086973857e-01,7.465314336377006088e-02,8.279876484552646521e-02,-2.157221876536913330e-03,3.225488866053767643e-03,-5.442940497613815015e-03,-3.855700716821771717e-06,1.600248856700504855e-06,2.303019150038847921e-06,-1.396558404601252594e-08,2.052331258183604508e-08,-2.864956706204148680e-08,3.000156572181947312e-01,-2.379850884736822714e-01,2.307183699783241226e-01,-1.445540149269472908e-04,3.141426349440266996e+00,3.739055517640235416e-05,-8.644761093075633619e-05,3.103761402231324060e-05,5.322750555096214715e-05,-1.919706237406039468e-07,2.976457003401184443e-07,-4.920036096995236160e-07,3.000195129189115462e-01,-2.379866887225389749e-01,2.307160669591740709e-01,-1.445400493429012877e-04,3.141426328916954613e+00,3.741920474346439250e-05
9.812498092651367188e-02,-2.526265434912041141e-01,1.183784105874662318e-01,3.488512902012340655e-01,-3.997582164984716385e-03,-2.778692875766631989e-04,-2.939405090897920236e-03,-2.169297639851987258e-01,8.339819680850929506e-02,1.360092699166680075e-01,-2.525293934226474028e-03,2.524817235327681333e-03,-4.942233416270635886e-03,-4.757097534575400812e-06,1.928636833280844510e-06,2.911663464797390920e-06,-1.619193545750249550e-08,2.305798834912680416e-08,-3.338564469523063164e-08,3.000243457537841718e-01,-2.379740554651175177e-01,2.306589970714319759e-01,-1.444832121038487724e-04,3.141426368987330964e+00,3.736691296413270007e-05,-9.334763754173420753e-05,3.440557623602416110e-05,6.799697483108989174e-05,-2.217561428500829040e-07,2.518748301733990686e-07,-4.711118956053540986e-07,3.000291028513187297e-01,-2.379759841019508104e-01,2.306560854079671707e-01,-1.444670201683912738e-04,3.141426345929342556e+00,3.740029860882793241e-05
